Q3										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32224.84	29854.68
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20541.46	18724.76
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	179609.12
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	161989.22
	0	0								
Q22										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	NaN	NaN	NaN	NaN	NaN	NaN	353.95	349.939	481.38	204.08
2	NaN	NaN	NaN	NaN	NaN	NaN	846.411	917.219	894.82	420.07
3	NaN	NaN	NaN	NaN	NaN	NaN	1695.04	1762.292	1311.46	853.41
4	NaN	NaN	NaN	NaN	NaN	NaN	3518.282	3459.371	3490.52	1864.29
5	NaN	NaN	NaN	NaN	NaN	NaN	7586.634	7207.314	4036.37	3566.62
6	NaN	NaN	NaN	NaN	NaN	NaN	14589.545	14861.381	7310.92	6918.31
7	NaN	NaN	NaN	NaN	NaN	NaN	30061.088	30093.153	36855.21	15015.19
8	NaN	NaN	NaN	NaN	NaN	NaN	59321.042	61013.122	70496.17	33292.51
