Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,IC,DB_Size,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,KU,ET,ETN,OV
89,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q1,T,F,0.0,7.0,7.0,1.0,1.0,F,T,337.447,73.027,0,140,29366.890000000003,,41290,351.57608,308.141985
90,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q2,T,T,8.0,0.0,16.0,10.0,5.0,F,T,397.705,172.678,0,290,10989.44,,28360,338.00095,311.5089
91,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q3,T,F,2.0,4.0,10.0,3.0,3.0,F,T,308.714,91.366,0,161,12735.95,,24380,331.99139,306.77256
92,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q4,T,T,0.0,3.0,7.0,2.0,2.0,F,T,220.996,92.835,0,165,22442.05,,32460,346.93485,312.96173
93,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q5,T,F,5.0,4.0,16.0,6.0,6.0,F,T,316.9,86.724,0,161,11689.69,,22590,335.11459,310.99584
94,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q6,T,F,0.0,4.0,4.0,1.0,1.0,F,F,178.756,40.128,0,44,10078.630000000001,,15590,328.98287,309.79884
95,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q7,T,T,5.0,5.0,15.0,6.0,5.0,F,T,447.86,157.185,0,266,31901.41,,44480,358.35712,310.63441
96,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q8,T,T,7.0,5.0,19.0,8.0,8.0,T,T,538.917,134.528,0,240,10640.97,,25320,328.07939,301.10802
97,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q9,T,T,5.0,6.0,16.0,6.0,6.0,F,T,278.404,75.008,0,157,67100.8,,78210,391.32233,311.80217
98,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q10,T,F,3.0,4.0,16.0,4.0,4.0,F,T,372.485,124.29,0,282,21390.63,,31410,341.75798,305.58714
99,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q11,T,T,4.0,0.0,8.0,6.0,3.0,F,T,,,,,,,,,
100,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q12,T,F,1.0,5.0,7.0,2.0,2.0,T,T,245.731,66.977,0,114,32125.79,,39780,356.74194,313.39333
101,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q13,T,T,1.0,0.0,6.0,2.0,2.0,F,T,120.098,36.738,0,71,236404.58000000002,,242960,548.02553,302.82683
102,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q14,T,F,1.0,4.0,6.0,2.0,2.0,T,F,282.467,68.61,0,72,7515.39,,14770,326.4447,307.96195
103,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q15,T,T,1.0,4.0,8.0,2.0,2.0,F,T,202.626,63.744,0,102,7512.990000000001,,14180,333.22105,315.26387
104,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q16,T,T,1.0,0.0,8.0,3.0,3.0,F,T,390.5,148.707,0,327,49171.82,,59410,372.60158,308.15468
105,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q17,T,T,2.0,3.0,6.0,3.0,2.0,F,F,251.555,36.992,0,41,22546.1,,28860,339.62138,306.91975
106,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q18,T,T,2.0,2.0,8.0,4.0,3.0,F,T,293.475,106.402,0,193,32856.84,,40860,360.58194,314.91711
