Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,DB_Size,BS,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,ET
79,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q13,T,T,1,0,6,2,2,F,T,120.639,42.304,79,71,615051.82,616339
80,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q14,T,F,1,4,6,2,2,T,F,303.26,77.599,234,72,41603.82,40851
81,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q15,T,T,1,4,8,2,2,F,T,228.351,57.535,211,108,42316.52,40466
82,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q16,T,T,1,0,8,3,3,F,T,435.197,180.542,314,328,248067.48,258175
83,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q17,T,T,2,3,6,3,2,F,F,270.56,42.494,270,41,134006.09,135395
84,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q18,T,T,2,2,8,4,3,F,T,313.342,117.471,58,195,172339.56,169876
85,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q19,T,F,1,6,10,2,2,F,F,605.728,198.655,199,169,343131.92,353731
86,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q20,T,T,2,3,17,5,5,F,T,439.519,159.583,264,258,94874.96,97414
87,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q21,T,T,3,4,16,6,4,F,T,,,,,,
88,BlazingSQL,T,T,F,48,2080ti,11,8,616,Q22,T,T,0,0,4,3,2,F,T,,,,,,
89,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q1,T,F,0,7,7,1,1,F,T,337.447,73.027,0,140,29366.89,41290
90,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q2,T,T,8,0,16,10,5,F,T,397.705,172.678,0,290,10989.44,28360
91,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q3,T,F,2,4,10,3,3,F,T,308.714,91.366,0,161,12735.95,24380
92,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q4,T,T,0,3,7,2,2,F,T,220.996,92.835,0,165,22442.05,32460
93,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q5,T,F,5,4,16,6,6,F,T,316.9,86.724,0,161,11689.69,22590
94,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q6,T,F,0,4,4,1,1,F,F,178.756,40.128,0,44,10078.63,15590
95,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q7,T,T,5,5,15,6,5,F,T,447.86,157.185,0,266,31901.41,44480
96,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q8,T,T,7,5,19,8,8,T,T,538.917,134.528,0,240,10640.97,25320
97,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q9,T,T,5,6,16,6,6,F,T,278.404,75.008,0,157,67100.8,78210
98,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q10,T,F,3,4,16,4,4,F,T,372.485,124.29,0,282,21390.63,31410
99,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q11,T,T,4,0,8,6,3,F,T,,,,,,
100,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q12,T,F,1,5,7,2,2,T,T,245.731,66.977,0,114,32125.79,39780
101,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q13,T,T,1,0,6,2,2,F,T,120.098,36.738,0,71,236404.58,242960
102,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q14,T,F,1,4,6,2,2,T,F,282.467,68.61,0,72,7515.39,14770
103,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q15,T,T,1,4,8,2,2,F,T,202.626,63.744,0,102,7512.99,14180
104,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q16,T,T,1,0,8,3,3,F,T,390.5,148.707,0,327,49171.82,59410
105,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q17,T,T,2,3,6,3,2,F,F,251.555,36.992,0,41,22546.1,28860
